# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
3.055120 1.015570 0.003167 -0.029897 0.000193 -0.061205 0.002065 -0.720014 -0.005606 0.029621
3.126290 1.051791 0.003282 0.007209 0.000011 0.034242 -0.001502 0.636307 0.006864 -0.439721
3.199110 1.064535 0.003366 0.105686 0.000871 -0.234942 -0.005407 0.198252 0.005456 -0.637990
3.273620 1.022657 0.003445 -0.064462 -0.000210 -0.062006 0.001912 -0.716678 -0.006486 0.353433
3.349880 1.066681 0.003522 0.128721 0.000828 -0.112326 -0.000496 -0.623831 -0.002814 -0.420956
3.427910 1.048585 0.003675 -0.030844 -0.000277 0.048411 0.003027 -0.352322 -0.001995 -0.261614
3.507750 1.004565 0.003513 0.059669 0.000601 -0.127585 -0.003474 0.173261 0.003928 -0.563831
3.589460 1.060113 0.003820 0.041423 0.000195 0.005573 0.001209 -0.248787 -0.001802 0.001046
3.673070 1.018317 0.003754 0.069598 0.000330 -0.055534 -0.003657 0.596611 0.002974 0.392669
3.758620 1.020905 0.003857 0.018204 -0.000047 0.039420 0.003413 -0.489143 -0.001139 -0.455107
3.846170 1.004383 0.004041 -0.070983 -0.000381 0.044758 0.000500 -0.027232 0.006026 -0.986853
3.935760 1.054541 0.004170 -0.015538 0.000263 -0.099269 -0.001847 -0.045393 -0.000485 -0.035128
4.027440 1.038840 0.004238 0.001350 -0.000070 0.010182 0.001699 -0.264191 -0.003770 0.160644
4.121250 0.973989 0.003995 0.045836 0.000678 -0.132384 -0.005233 0.509404 -0.002934 0.989548
4.217240 0.994217 0.004228 0.007900 0.000554 -0.169025 -0.005007 0.247549 0.004418 -0.282361
4.315480 1.032168 0.004428 0.090065 0.000503 0.042061 -0.000315 0.123978 0.001916 -0.010603
4.416000 1.021151 0.004563 -0.002432 0.000002 -0.010375 -0.000918 0.083490 -0.003018 0.457455
4.518860 0.975185 0.004493 -0.056074 -0.000180 -0.034154 -0.001664 0.144385 -0.001333 0.369511
4.624120 1.032190 0.004753 0.097439 -0.000018 0.166339 0.004420 -0.007523 0.000941 -0.065589
4.731830 1.028834 0.004855 0.093800 0.000511 -0.024378 -0.000144 -0.009734 0.000080 0.003403
4.842040 1.001018 0.004886 0.018751 0.000196 -0.024760 -0.000873 -0.057086 0.000463 0.057099
4.954830 0.992309 0.004932 0.032419 0.000478 -0.068715 -0.002401 0.106791 0.001024 -0.007336
5.070240 0.994355 0.005075 0.029769 0.000128 0.032539 0.001428 0.055974 -0.002969 0.230224
5.188340 0.987435 0.005193 0.011986 0.000127 -0.045838 -0.002192 0.136014 -0.001944 0.429889
5.309200 1.022082 0.005542 -0.028665 -0.000191 0.001621 0.001194 -0.146305 -0.001417 0.033692
5.432860 1.000530 0.005434 0.038106 0.000290 -0.036699 0.001683 -0.318601 -0.001348 -0.327616
5.559410 1.001206 0.005595 -0.003461 0.000043 -0.009076 -0.000033 0.044441 -0.001776 0.164416
5.688910 0.994555 0.005715 0.018541 0.000174 -0.003256 -0.001003 0.076656 -0.000202 0.167432
5.821420 1.023480 0.006064 -0.036904 -0.000758 0.130876 0.002976 0.139400 -0.001634 0.340276
5.957020 0.994893 0.006011 -0.038878 -0.000934 0.171912 0.008204 -0.302039 -0.004680 0.061410
6.095770 0.995652 0.006109 0.018301 -0.000011 0.052097 0.002659 -0.150376 -0.001217 -0.125280
6.237760 1.010939 0.006336 0.031819 0.000226 -0.001435 -0.000270 0.022492 0.001045 -0.060618
6.383060 0.984435 0.006383 -0.002959 -0.000039 0.009792 -0.000739 0.132461 0.002379 -0.060180
6.531740 0.996525 0.006610 -0.007592 0.000097 -0.036030 -0.001334 -0.015666 0.000543 -0.044119
6.683880 1.001203 0.006770 0.017741 0.000040 0.018375 0.002628 -0.245311 -0.004056 0.069078
