# s W_0 W_1 W_2 W_3 W_4
0.543250 0.999968 0.000411 -0.000011 -0.000000 0.000000
0.549541 0.999963 0.000416 -0.000011 -0.000000 0.000000
0.555904 0.999963 0.000421 -0.000011 -0.000000 0.000000
0.562341 0.999963 0.000425 -0.000011 -0.000000 0.000000
0.568853 0.999963 0.000430 -0.000012 -0.000000 0.000000
0.575440 0.999963 0.000435 -0.000012 -0.000000 0.000000
0.582103 0.999959 0.000440 -0.000012 -0.000000 0.000000
0.588844 0.999959 0.000445 -0.000012 -0.000000 0.000000
0.595662 0.999959 0.000451 -0.000013 -0.000000 0.000000
0.602560 0.999959 0.000456 -0.000013 -0.000000 0.000000
0.609537 0.999959 0.000461 -0.000013 -0.000000 0.000000
0.616595 0.999954 0.000466 -0.000014 -0.000000 0.000000
0.623735 0.999954 0.000472 -0.000014 -0.000000 0.000000
0.630957 0.999954 0.000477 -0.000014 -0.000000 0.000000
0.638263 0.999954 0.000483 -0.000015 -0.000000 0.000000
0.645654 0.999950 0.000488 -0.000015 -0.000000 0.000000
0.653131 0.999950 0.000494 -0.000015 -0.000000 0.000000
0.660693 0.999950 0.000500 -0.000016 -0.000000 0.000000
0.668344 0.999950 0.000506 -0.000016 -0.000000 0.000000
0.676083 0.999945 0.000511 -0.000016 -0.000000 0.000000
0.683912 0.999945 0.000517 -0.000017 -0.000000 0.000000
0.691831 0.999945 0.000523 -0.000017 -0.000000 0.000000
0.699842 0.999940 0.000529 -0.000018 -0.000000 0.000000
0.707946 0.999940 0.000536 -0.000018 -0.000000 0.000000
0.716143 0.999940 0.000542 -0.000018 -0.000000 0.000000
0.724436 0.999940 0.000548 -0.000019 -0.000000 0.000000
0.732825 0.999936 0.000554 -0.000019 -0.000000 0.000000
0.741310 0.999936 0.000561 -0.000020 -0.000000 0.000000
0.749894 0.999936 0.000567 -0.000020 -0.000000 0.000000
0.758578 0.999931 0.000574 -0.000021 -0.000000 0.000000
0.767361 0.999931 0.000581 -0.000021 -0.000000 0.000000
0.776247 0.999927 0.000587 -0.000022 -0.000000 0.000000
0.785236 0.999927 0.000594 -0.000022 -0.000000 0.000000
0.794328 0.999927 0.000601 -0.000023 -0.000000 0.000000
0.803526 0.999922 0.000608 -0.000023 -0.000000 0.000000
0.812831 0.999922 0.000615 -0.000024 -0.000000 0.000000
0.822243 0.999922 0.000622 -0.000024 -0.000000 0.000000
0.831764 0.999918 0.000629 -0.000025 -0.000000 0.000000
0.841395 0.999918 0.000637 -0.000025 -0.000000 0.000000
0.851138 0.999913 0.000644 -0.000026 -0.000000 0.000000
0.860994 0.999913 0.000651 -0.000027 -0.000000 0.000000
