### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 5000 Ly = 5000 Lz = 5000
nx = 600 ny = 600 nz = 600
xoffset = 1383.5 yoffset = 32.0583 zoffset = 357.098
bins = 300 dk = 0.001
kx_ny = 0.376991 ky_ny = 0.376991 kz_ny = 0.376991
############################
A(data) = 3.31561 (not used)
A(ran) = 3.31569 (used)
Ngal = 158267
weighted Ngal = 169914
Nran = 8008456
weighted Nran = 8.00846e+06
SN(data) = 6203.11
SN(ran) = 131.652
SN(data+ran) = 6334.76
0.1205 0.120503 13344.1 -105.832 3658 605.065 -180.484 3492.1 46005
0.1215 0.121501 13411.4 -148.95 2973.1 681.671 -323.833 3473.06 46519
0.1225 0.122498 13608.8 -103.631 2434.82 509.986 -127.082 3434.38 47598
0.1235 0.123498 13696.4 121.749 2203.53 -25.9403 -326.256 3417.27 48087
0.1245 0.124503 13476.5 291.087 2214.41 -226.194 -249.724 3358.99 49741
0.1255 0.125508 13212.2 219.342 2504.3 -306.743 -191.068 3358.54 49719
0.1265 0.126499 12993.8 220.256 2759.21 -284.602 -573.087 3350.77 49921
0.1275 0.127495 12774.8 213.65 3085.84 -265.933 -659.915 3286.25 51870
0.1285 0.128504 12653.6 331.241 3423.18 -510.488 -569.522 3259.03 52723
0.1295 0.129509 12283.7 387.206 3910.45 -696.66 -961.364 3242.26 53217
0.1305 0.130507 11867.5 368.734 4398.85 -403.441 -1067.45 3228.17 53623
0.1315 0.131501 11690.3 3.53623 4536.37 392.727 -1042.04 3203.77 54417
0.1325 0.132497 11969.1 -270.614 4120.82 753.16 -1197.84 3170.69 55600
0.1335 0.133502 12199.4 -191.732 3518.19 685.09 -892.592 3137.51 56817
0.1345 0.134505 12316.5 -9.88875 3052.49 348.258 -824.464 3126.2 57247
0.1355 0.135494 12317 114.464 2831 130.32 -529.405 3135.03 56925
0.1365 0.13649 12140.1 277.481 2996.33 -150.864 -319.997 3058.19 59793
0.1375 0.1375 11925.7 188.431 3133.92 -8.39668 -201.864 3047.07 60196
0.1385 0.138504 11725.2 186.688 3155.28 137.382 -201.215 3029.86 60849
0.1395 0.139505 11604.2 197.1 3199.45 135.487 48.0564 3011.36 61579
0.1405 0.140502 11527.6 67.0678 3207.87 418.717 343.945 2993.26 62313
0.1415 0.141497 11532.5 -43.6878 2995.36 455.601 583.779 2977.32 62983
0.1425 0.142499 11572 61.5094 2772.67 199.433 549.672 2933.4 64890
0.1435 0.143507 11436.6 225.181 2705.91 -281.792 345.145 2918.18 65545
0.1445 0.144507 11127.8 350.635 2986.35 -565.57 442.384 2909.48 65883
0.1455 0.145505 10908.6 266.717 3386.07 -316.837 450.96 2885.63 66937
0.1465 0.1465 10753.5 63.6933 3550.16 173.922 448.446 2872.21 67536
0.1475 0.147503 10793.8 12.6495 3503.74 460.62 449.998 2828.79 69633
0.1485 0.148507 10727 129.131 3275.85 87.2932 340.136 2828.09 69655
0.1495 0.149502 10692.9 145.722 3426.35 -93.2254 460.403 2815.81 70257
0.1505 0.1505 10555 191.53 3572.3 -258.594 472.94 2782.96 71899
0.1515 0.151504 10375.1 150.734 3609.66 14.0257 341.138 2758.93 73122
0.1525 0.152501 10304.6 58.3829 3410.31 317.321 618.225 2766.26 72721
0.1535 0.1535 10365.8 -6.33445 3037.48 440.491 528.199 2719.08 75279
0.1545 0.154507 10294.6 85.4932 2831.15 185.894 411.052 2704.24 76093
0.1555 0.155505 10048.5 254.22 2725.58 -281.839 338.302 2709.51 75747
0.1565 0.156502 9847.1 252.466 2846.31 -125.721 618.132 2669.82 77974
0.1575 0.157498 9635.97 93.733 2839.15 167.292 567.995 2679.1 77391
0.1585 0.158494 9608.59 120.397 2958.17 118.097 117.225 2635.26 79981
0.1595 0.159502 9383.66 283.19 2936.39 -199.43 284.973 2610.94 81429
0.1605 0.160503 9132.74 239.193 3108.9 -52.5642 484.853 2618.08 80931
0.1615 0.161504 9012.41 41.1529 2993.96 350.914 507.203 2578.46 83410
0.1625 0.162506 8968.1 24.458 2831.05 380.265 745.858 2583.44 83079
0.1635 0.163503 8944.41 90.7574 2743.68 265.684 1080.04 2559.65 84625
0.1645 0.164504 8867.07 87.1806 2561.26 128.641 1159.85 2540.69 85875
0.1655 0.165507 8747.44 196.738 2388.58 -5.96825 1155.59 2522.57 87085
0.1665 0.166502 8536.79 162.303 2512.98 -15.2401 1457.57 2528.85 86604
0.1675 0.167497 8482.71 -4.13055 2304.55 197.811 1362.41 2494.5 88993
0.1685 0.168503 8572.05 -70.7551 2019.85 319.17 1067.47 2468.53 90897
0.1695 0.169507 8721.65 -70.4967 1633.09 215.86 843.602 2472.32 90655
0.1705 0.170504 8835.23 72.8956 1445.12 -253.633 246.896 2456.62 91845
0.1715 0.171503 8700.54 228.456 1792.74 -600.197 -83.7522 2436.43 93340
0.1725 0.172501 8472 294.542 1997.34 -609.574 -265.148 2432.8 93561
0.1735 0.173502 8278.86 138.866 2136.38 -45.4609 -600.664 2400.89 96015
0.1745 0.174499 8239.06 20.6202 2139.24 292.802 -653.954 2413.34 95017
0.1755 0.175493 8230.32 41.3831 1956.98 490.465 -284.201 2378.32 97833
0.1765 0.176493 8241.52 25.7409 1824.74 520.922 220.464 2369.57 98560
0.1775 0.177494 8269.38 46.2785 1668.92 344.955 488.225 2353.47 99921
0.1785 0.178499 8188.76 121.157 1626.12 104.681 784.696 2333.15 101647
0.1795 0.179504 8113.88 132.315 1681.23 -45.1552 1038.44 2325.9 102261
0.1805 0.180504 8044.49 87.1839 1739.94 18.6937 1117.21 2318.5 102895
0.1815 0.181499 8013.08 36.8707 1688.37 83.9016 973.735 2308.48 103782
0.1825 0.182502 7989.73 135.515 1735.03 -134.084 904.073 2280.87 106303
0.1835 0.183504 7879.77 176.837 1805.04 -175.904 781.728 2282.31 106137
0.1845 0.1845 7734.79 158.604 1880.05 -156.481 566.134 2267.94 107445
0.1855 0.185498 7624.17 141.576 1864.82 -142.584 271.356 2250.35 109099
0.1865 0.186499 7506.47 119.512 1937.9 -36.2101 294.907 2239.55 110118
0.1875 0.187501 7487.35 34.9381 1789.98 102.059 330.849 2224.51 111607
0.1885 0.188501 7512.45 47.2335 1640.96 148.989 221.7 2218.61 112209
0.1895 0.1895 7456.15 26.2929 1480.4 187.744 328.761 2202.73 113815
0.1905 0.190498 7478.65 43.1023 1382.19 118.215 322.597 2196.56 114462
0.1915 0.191496 7510.14 68.0274 1449.68 110.963 481.716 2181.55 116053
0.1925 0.192499 7498.6 65.6228 1360.09 68.3232 483.935 2163.01 118047
0.1935 0.193502 7487.04 82.1307 1351.37 35.0269 537.422 2158.83 118501
0.1945 0.1945 7436.56 79.7799 1238.99 -50.5544 493.923 2149.43 119523
0.1955 0.1955 7437.62 61.37 1239.11 -22.6526 501.868 2134.74 121174
0.1965 0.196501 7426.95 68.5003 1208.6 90.8848 411.952 2123.14 122499
0.1975 0.197504 7372.11 119.282 1236.97 -65.1026 267.379 2112.09 123765
0.1985 0.198505 7241.98 172.042 1259.88 -29.6074 213.728 2103.7 124711
0.1995 0.199503 7101.88 114.269 1228.46 46.3962 205.537 2094.44 125769
0.2005 0.2005 7113.95 1.22067 1169.81 233.756 148.09 2086.52 126730
0.2015 0.201501 7124.41 62.3284 998.081 46.7298 153.064 2064.24 129483
0.2025 0.202503 7062.13 149.973 965.155 -124.597 223.392 2064.66 129409
0.2035 0.203499 6971.49 121.242 936.809 -77.4326 264.527 2056.49 130407
0.2045 0.204499 6906.78 24.4428 957.266 213.177 387.707 2034.36 133237
0.2055 0.2055 7015.86 -24.886 812.138 318.893 480.332 2034.3 133284
0.2065 0.206502 7026.06 70.9591 733.251 47.383 585.16 2015.54 135781
0.2075 0.207504 6998.59 116.076 655.73 -78.2803 651.43 2012.82 136137
0.2085 0.208502 6943.1 119.108 849.853 -141.698 631.631 2004.49 137251
0.2095 0.209503 6874.93 115.713 963.18 -136.6 499.233 1986.4 139737
0.2105 0.210503 6809.31 119.318 1114.15 -109.238 404.772 1987.57 139548
0.2115 0.211505 6743.8 116.003 1084.11 24.7123 388.92 1964.87 142765
0.2125 0.212505 6731.69 68.3139 1043.13 92.0826 320.64 1970.38 141963
0.2135 0.2135 6714.53 43.0752 959.032 143.064 451.849 1958.14 143737
0.2145 0.214498 6706.24 43.7097 825.284 130.462 250.176 1944.43 145767
0.2155 0.215497 6665.08 83.4888 697.753 -23.3916 234.289 1936.64 146926
0.2165 0.2165 6618.73 124.184 718.323 -65.8395 272.071 1921.98 149157
0.2175 0.217503 6536.07 110.568 701.988 66.8022 289.674 1916.78 149935
0.2185 0.218504 6517.57 72.5942 707.828 143.472 305.016 1907.43 151401
0.2195 0.219502 6439.61 55.3777 594.294 130.234 234.811 1905.5 151675
0.2205 0.220496 6423.23 109.831 496.655 -70.1024 277.153 1896.34 153138
0.2215 0.221496 6385.75 116.252 566.675 -150.26 420.863 1878.24 156087
0.2225 0.222501 6339.31 113.274 688.075 -148.468 295.57 1870.46 157369
0.2235 0.223502 6288.58 84.3938 757.942 -8.51268 235.443 1867.16 157905
0.2245 0.224503 6243.88 112.085 731.897 -47.6743 53.5562 1854.62 160027
0.2255 0.225501 6186.62 116.948 810.007 -30.0198 114.42 1852.61 160350
0.2265 0.2265 6164.78 58.3122 871.726 35.3702 206.763 1839.11 162703
0.2275 0.227501 6174.02 40.6005 813.543 74.8706 162.371 1833.45 163713
0.2285 0.228501 6212.68 69.6485 774.494 12.9216 94.5046 1823.56 165511
0.2295 0.229501 6165 90.315 729.544 -28.8901 89.3814 1816.21 166833
0.2305 0.230499 6129.65 121.977 864.643 -61.5788 113.42 1813.15 167380
0.2315 0.231497 6033.64 148.104 927.697 -153.061 187.149 1800.86 169629
0.2325 0.232499 5972.14 122.11 996.638 -73.7935 304.962 1789.39 171781
0.2335 0.233501 5923.78 63.4808 1070.75 109.863 264.856 1782.25 173139
0.2345 0.234502 5903.56 67.2302 1013.91 114.167 361.272 1778.35 173889
0.2355 0.2355 5907.68 74.3792 915.363 73.6694 463.263 1772.46 175048
0.2365 0.236498 5864.68 78.8074 938.46 -12.8845 537.276 1763.05 176901
0.2375 0.2375 5854.06 95.5255 914.074 -54.2056 525.795 1750.09 179527
0.2385 0.238502 5804.95 44.2683 877.623 94.0644 509.631 1749.08 179709
0.2395 0.2395 5850.69 45.1767 807.684 106.599 425.108 1739.97 181618
0.2405 0.240502 5816.54 119.477 786.444 -35.1578 415.087 1730.07 183687
0.2415 0.241503 5712.3 153.921 810.42 -82.2386 488.174 1725.33 184645
0.2425 0.242502 5662.98 68.6234 826.117 42.4106 521.123 1720.96 185559
0.2435 0.243502 5635.74 47.8903 738.501 172.38 599.282 1707.16 188557
0.2445 0.244503 5666.34 73.9366 673.367 117.312 673.683 1704.53 189156
0.2455 0.245504 5593.42 115.597 669.993 2.02539 744.309 1696.89 190825
0.2465 0.246504 5564.54 126.158 773.426 -101.353 696.689 1688.87 192627
0.2475 0.247504 5490.06 130.02 858.516 -134.66 662.333 1684.95 193485
0.2485 0.248502 5444.85 91.5948 942.313 -136.179 540.963 1677.46 195193
0.2495 0.249501 5402.9 71.335 983.7 -74.708 340.802 1668.16 197352
0.2505 0.250501 5433.11 43.4282 990.288 19.7397 329.624 1663.13 198565
0.2515 0.251503 5499.17 15.7172 886.693 124.78 302.523 1653.46 200931
0.2525 0.252505 5528.14 15.4986 761.167 82.7193 179.558 1649.05 202021
0.2535 0.253503 5549.06 80.2583 751.453 5.11826 114.451 1646.99 202539
0.2545 0.2545 5524.68 109.566 703.061 -64.3126 117.166 1636.42 205150
0.2555 0.255502 5461.88 87.5839 707.781 -25.8731 154.714 1628.68 207069
0.2565 0.256505 5491.43 18.9269 671.772 160.827 145.463 1620.79 209107
0.2575 0.257505 5552.17 10.5549 487.421 261.144 311.233 1620.31 209265
0.2585 0.2585 5587.9 72.1361 373.744 116.664 416.305 1616.2 210351
0.2595 0.259497 5504.06 138.211 363.013 -38.7413 519.848 1604.77 213310
0.2605 0.2605 5405.4 162.997 420.128 -118.346 663.511 1595.15 215835
0.2615 0.261505 5319.5 133.455 484.27 -84.371 673.492 1588.53 217585
0.2625 0.262502 5275.34 67.112 559.812 -0.352156 682.404 1595.18 215751
0.2635 0.263497 5285.01 73.0608 577.764 -23.8377 529.904 1578.39 220369
0.2645 0.264502 5251.31 92.9632 559.257 -51.9603 549.598 1569.02 222990
0.2655 0.265502 5212.5 86.0198 534.711 -12.4212 528.916 1572.87 221875
0.2665 0.266499 5204.9 92.3054 547.714 -52.6706 395.357 1562.99 224685
0.2675 0.267501 5159.02 91.84 601.221 -22.3498 350.26 1552.94 227575
0.2685 0.268502 5170.79 48.0191 472.715 105.153 342.726 1550.87 228189
0.2695 0.269502 5211.87 -11.6165 332.575 216.917 323.251 1545.62 229768
0.2705 0.270502 5306.2 25.4511 244.022 128.492 216.622 1538.23 232041
0.2715 0.271501 5306.43 108.555 253.356 -44.6445 256.562 1537.75 232185
0.2725 0.2725 5240.35 135.861 289.415 -157.588 185.654 1524.25 236275
0.2735 0.273502 5152.38 118.619 326.573 -78.1865 171.712 1523.25 236529
0.2745 0.274501 5159.71 60.4938 352.036 82.1499 250.982 1516.26 238720
0.2755 0.275501 5153.56 79.884 295.986 99.8521 265.415 1512.39 239937
0.2765 0.276499 5120.5 100.97 229.046 52.4283 291.949 1507.63 241435
0.2775 0.277497 5020.32 162.508 274.864 -73.2911 342.384 1501.2 243441
0.2785 0.278499 4919.37 151.162 348.468 -76.7943 409.885 1491.08 246691
0.2795 0.279499 4853.82 116.24 408.708 -67.195 411.781 1491.85 246390
0.2805 0.280499 4822.69 54.2997 386.186 28.027 291.6 1480.17 250273
0.2815 0.281503 4839.43 50.716 321.451 70.3849 257.162 1476.77 251439
0.2825 0.282503 4839.75 57.9915 283.999 47.8733 336.797 1474.53 252205
0.2835 0.2835 4855.2 61.9018 229.786 61.3708 413.42 1470.22 253695
0.2845 0.2845 4877.69 64.1207 199.522 15.4518 434.299 1460.11 257238
0.2855 0.285502 4849.96 140.857 297.914 -145.093 421.02 1458.69 257719
0.2865 0.2865 4778.25 151.056 438.549 -201.438 406.49 1454.58 259125
0.2875 0.287498 4726.57 128.838 642.451 -173.842 319.449 1447.48 261637
0.2885 0.288501 4670.98 94.6083 755.148 -62.6997 153.358 1437.52 265236
0.2895 0.289501 4648.98 97.8751 758.053 -63.4089 164.182 1441.85 263629
0.2905 0.290499 4626.07 62.0405 722.391 82.6839 199.619 1429.78 268083
0.2915 0.291503 4650.96 43.458 636.996 119.181 202.423 1424.2 270205
0.2925 0.292502 4670.31 64.3844 529.781 108.053 185.648 1427.09 269127
0.2935 0.293498 4642.67 89.1148 455.734 55.5545 251.181 1418.63 272326
0.2945 0.294499 4606.94 93.0765 403.518 -18.6286 310.745 1410.46 275463
0.2955 0.295501 4591.43 86.0522 369.023 -15.9845 297.312 1406.62 276957
0.2965 0.296503 4580.62 63.7122 358.025 5.75799 192.928 1401.44 279001
0.2975 0.297503 4607.24 42.3504 390.853 47.8783 130.094 1400.37 279447
0.2985 0.2985 4661.68 16.7787 263.425 57.8703 190.204 1395.31 281518
