### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 5000 Ly = 5000 Lz = 5000
nx = 600 ny = 600 nz = 600
xoffset = -982.047 yoffset = -47.9468 zoffset = 798.097
bins = 300 dk = 0.001
kx_ny = 0.376991 ky_ny = 0.376991 kz_ny = 0.376991
############################
A(data) = 8.9751 (not used)
A(ran) = 8.9771 (used)
Ngal = 435761
weighted Ngal = 467524
Nran = 22769125
weighted Nran = 2.27691e+07
SN(data) = 6136.32
SN(ran) = 126.024
SN(data+ran) = 6262.34
0.1755 0.175493 8047.85 -0.724295 2212.16 296.585 9.3387 880.527 97833
0.1765 0.176493 7983.85 154.465 2137.92 -71.3415 53.4479 877.07 98560
0.1775 0.177494 7925.04 160.632 2096.94 -107.079 83.2911 870.89 99921
0.1785 0.178499 7754.67 108.193 2250.99 -26.5692 75.7642 862.93 101647
0.1795 0.179504 7743.71 113.818 2266.31 175.392 215.501 860.301 102261
0.1805 0.180504 7685.96 -15.7077 2083.11 365.899 381.371 857.467 102895
0.1815 0.181499 7787.59 -31.8128 1949.08 402.536 432.028 854.11 103782
0.1825 0.182502 7805.99 64.7978 1786.49 133.406 564.603 843.978 106303
0.1835 0.183504 7769.04 113.747 1782.6 -184.35 458.943 844.524 106137
0.1845 0.1845 7682.18 181.06 1907.83 -242.334 521.858 839.103 107445
0.1855 0.185498 7582.93 87.4121 1991.36 -60.3204 546.41 832.418 109099
0.1865 0.186499 7596.16 15.1757 1879.38 104.113 203.023 828.597 110118
0.1875 0.187501 7549 103.105 1764.96 86.9943 484.38 822.91 111607
0.1885 0.188501 7538.45 17.855 1554.91 261.012 739.941 820.668 112209
0.1895 0.1895 7512.31 85.5997 1576.93 113.372 608.087 814.78 113815
0.1905 0.190498 7411.88 187.69 1502.32 -25.9114 750.105 812.177 114462
0.1915 0.191496 7288.54 86.1905 1462.15 -174.136 821.154 806.229 116053
0.1925 0.192499 7302.03 137.134 1653.36 -127.877 569.831 799.43 118047
0.1935 0.193502 7087.51 183.037 1723.32 -110.799 830.583 797.274 118501
0.1945 0.1945 7029.33 35.6807 1633.96 150.214 774.113 793.689 119523
0.1955 0.1955 7157.5 -53.7563 1585.06 372.232 626.092 788.632 121174
0.1965 0.196501 7143.96 131.75 1480.89 19.3796 531.542 784.317 122499
0.1975 0.197504 7053.33 109.6 1463.58 -42.9357 836.675 780.037 123765
0.1985 0.198505 6972.35 89.0341 1426.98 75.2002 752.65 776.844 124711
0.1995 0.199503 6940.76 68.8911 1304.75 149.086 729.33 773.48 125769
0.2005 0.2005 6908.67 79.8088 1332.47 72.7183 681.252 770.452 126730
0.2015 0.201501 6841.81 138.969 1291.24 -88.4125 727.985 762.032 129483
0.2025 0.202503 6746.64 101.276 1278.14 -236.246 661.079 761.985 129409
0.2035 0.203499 6663.53 136.427 1374.39 -66.847 677.842 758.834 130407
0.2045 0.204499 6577.09 105.765 1321.78 44.4671 741.889 750.495 133237
0.2055 0.2055 6501.6 136.229 1452.56 -51.7141 554.691 750.155 133284
0.2065 0.206502 6403.8 136.353 1483.33 -84.0056 683.411 742.96 135781
0.2075 0.207504 6398.17 -7.45173 1442.51 138.915 708.822 741.973 136137
0.2085 0.208502 6476.79 -9.49905 1315.74 212.872 737.431 739.168 137251
0.2095 0.209503 6503.21 18.8806 1172.54 81.7228 829.696 732.634 139737
0.2105 0.210503 6513.74 170.054 1186.5 -93.3663 708.26 733.158 139548
0.2115 0.211505 6348.22 174.299 1321.41 -249.8 723.745 724.413 142765
0.2125 0.212505 6272.52 115.38 1514.83 -65.2516 646.847 726.255 141963
0.2135 0.2135 6227.23 61.6035 1444.32 34.0767 422.066 721.64 143737
0.2145 0.214498 6174.91 86.2543 1466.72 -1.7824 498.458 716.461 145767
0.2155 0.215497 6185.15 86.2016 1391.74 177.073 552.477 713.656 146926
0.2165 0.2165 6130.66 47.1673 1238.85 179.798 522.978 708.157 149157
0.2175 0.217503 6159.73 60.7812 1248.78 43.6169 490.328 706.393 149935
0.2185 0.218504 6076.56 110.814 1137.42 -46.9573 569.271 702.751 151401
0.2195 0.219502 6052.12 62.07 1104.04 -12.7155 494.045 702.053 151675
0.2205 0.220496 6031.22 89.3718 1193.59 -17.3653 499.476 698.638 153138
0.2215 0.221496 5993.26 61.963 1082.75 75.1296 455.347 691.911 156087
0.2225 0.222501 5987.16 82.7057 1030.39 22.153 376.246 689.071 157369
0.2235 0.223502 5930.86 106.284 1126.03 -91.5037 423.632 687.759 157905
0.2245 0.224503 5828.21 122.724 1044.21 -19.0324 376.339 682.927 160027
0.2255 0.225501 5812.18 79.6948 1092.45 65.2983 392.885 682.199 160350
0.2265 0.2265 5761.33 114.145 1113.36 -60.7266 419.639 677.122 162703
0.2275 0.227501 5671.89 96.161 1051.33 -59.946 530.576 674.809 163713
0.2285 0.228501 5682.74 17.5622 1051.99 119.589 474.691 671.16 165511
0.2295 0.229501 5689.16 59.699 1004.56 23.474 371.429 668.512 166833
0.2305 0.230499 5668.83 189.652 1154.75 -208.188 338.167 667.369 167380
0.2315 0.231497 5499.46 136.498 1201.73 -108.952 336.103 662.519 169629
0.2325 0.232499 5460.06 59.6992 1316.01 3.19118 295.578 658.261 171781
0.2335 0.233501 5488.14 8.12866 1217.88 212.288 320.223 655.742 173139
0.2345 0.234502 5581.28 -13.4343 1022.18 227.524 386.54 654.549 173889
0.2355 0.2355 5643.97 41.5865 880.037 140.479 462.078 652.529 175048
0.2365 0.236498 5578.75 140.518 821.122 27.2449 567.245 648.947 176901
0.2375 0.2375 5505.52 84.0201 849.403 10.0286 612.958 644.01 179527
0.2385 0.238502 5476.38 91.0023 896.314 -49.2833 492.593 643.616 179709
0.2395 0.2395 5446.01 99.3832 923.336 -113.578 449.857 640.153 181618
0.2405 0.240502 5406.32 80.6062 943.039 -52.6445 426.823 636.445 183687
0.2415 0.241503 5425.59 44.1961 921.954 78.3917 389.736 634.836 184645
0.2425 0.242502 5437.37 66.4763 956.494 41.4413 377.974 633.298 185559
0.2435 0.243502 5392.84 105.34 941.263 -48.9072 426.812 628.141 188557
0.2445 0.244503 5315.3 124.28 1003.92 -131.349 457.404 626.967 189156
0.2455 0.245504 5263.46 112.352 1076.38 -3.49688 515.206 624.101 190825
0.2465 0.246504 5237.34 61.3251 1108.05 -23.4876 455.006 621.115 192627
