# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
1.161530 1.150375 0.001204 0.518307 0.000679 0.217750 0.003620 -0.149482 -0.017473 7.466660
1.188580 1.046288 0.001310 -0.319093 -0.000633 0.163831 0.004375 -2.272260 -0.012917 5.836170
1.216270 1.012350 0.001193 0.493219 0.000358 0.364552 0.013582 -3.440070 -0.008550 -1.072180
1.244600 1.128639 0.001447 -0.117525 -0.000266 -0.089939 0.000864 0.621220 -0.011281 6.061820
1.273590 1.067929 0.001358 0.025751 0.000862 -0.980295 -0.015933 -0.976203 -0.012716 3.792680
1.303250 0.994586 0.001313 0.110413 0.000655 -0.334192 -0.008998 -0.223952 0.009600 -4.777900
1.333610 1.151458 0.001554 -0.209422 -0.000386 0.143028 0.003278 -0.223159 -0.005000 2.101220
1.364670 1.102313 0.001526 0.102670 0.000170 -0.103855 -0.001365 -0.746344 -0.004688 1.335680
1.396460 0.993208 0.001455 -0.142720 0.000219 -0.522766 -0.013140 2.215710 -0.000109 3.564930
1.428990 0.933111 0.001365 -0.084654 -0.000066 -0.106766 -0.010135 4.660960 0.022232 -2.424820
1.462270 1.072327 0.001580 0.049153 -0.000213 0.173979 0.009598 -2.550920 -0.015905 2.676400
1.496330 0.941645 0.001342 0.112890 0.000347 -0.055798 -0.005238 1.724370 0.004273 1.241860
1.531190 1.096720 0.001606 0.248707 0.000721 -0.209003 -0.005499 0.053598 0.012058 -4.096390
1.566850 1.010350 0.001493 0.212841 0.000331 0.111415 0.006075 -1.222950 -0.007800 2.109310
1.603350 1.150057 0.001843 -0.026563 -0.000193 0.231215 0.000094 2.152690 0.011315 -0.623367
1.640700 0.968814 0.001594 0.149527 0.000381 -0.076353 -0.001385 0.290452 0.000789 0.805490
1.678920 1.013439 0.001754 -0.131610 -0.000160 -0.105239 0.000705 -1.382100 -0.008501 0.328422
1.718020 0.972787 0.001630 0.214221 0.000301 0.078200 0.008348 -2.222160 -0.008950 -1.026660
1.758040 0.985393 0.001670 0.004159 -0.000278 0.312362 0.011225 -1.688140 -0.009822 1.273230
1.798990 0.911693 0.001760 -0.207787 -0.000501 0.040904 0.000473 0.042279 0.001811 0.029576
1.840890 1.074356 0.002005 0.015465 0.000027 0.050698 -0.005826 2.515290 0.012964 -0.558287
1.883770 1.017170 0.001878 -0.004768 -0.000156 0.116018 0.004497 -0.604155 -0.003721 -0.526290
1.927650 1.082644 0.002133 -0.168469 -0.000413 -0.008573 0.005113 -1.857460 -0.003966 -0.920776
1.972550 1.120379 0.002244 -0.087824 -0.000357 0.138766 0.002656 0.030356 -0.003690 1.080960
2.018500 0.953450 0.001895 0.144444 0.000765 -0.283910 -0.009486 0.816936 -0.007373 2.768330
2.065520 1.059109 0.002229 -0.067697 -0.000503 0.274677 0.002300 2.628660 0.020569 -2.782260
2.113630 1.050276 0.002258 -0.033265 -0.000225 0.094310 0.008740 -2.324100 -0.021006 2.824210
2.162860 1.020091 0.002271 -0.114060 -0.000332 0.027702 -0.001256 0.191946 0.005742 -0.422182
2.213240 1.006808 0.002182 0.146514 0.000368 0.044884 0.004324 -1.260870 -0.008400 0.106373
2.264790 1.013705 0.002306 -0.070686 -0.000180 0.050824 0.001238 0.039019 0.005953 -1.788330
2.317550 1.062031 0.002434 0.006023 0.000038 0.041639 0.001872 -0.175469 -0.002660 0.387177
2.371530 1.050683 0.002450 0.078716 0.000203 0.029487 -0.001107 0.470034 0.013846 -2.995810
2.426770 0.990488 0.002372 0.045461 0.000520 -0.227386 0.001105 -2.660650 -0.019028 0.985992
2.483300 0.978151 0.002430 0.054389 0.000439 -0.199240 -0.008116 0.570092 0.003573 -0.188399
2.541140 0.979099 0.002541 -0.085496 -0.000153 -0.047435 0.000924 -0.541495 -0.010342 1.536810
2.600330 1.062624 0.002687 0.072102 0.000172 0.060528 0.003112 -0.322338 -0.003559 0.981215
2.660900 1.000132 0.002682 -0.063265 -0.000038 -0.099517 -0.005599 0.015736 0.004011 -0.091132
2.722880 1.078237 0.002911 0.064814 0.000307 -0.057120 -0.003440 0.159629 0.009779 -1.622610
2.786310 0.971997 0.002754 -0.069490 -0.000522 0.126860 0.004361 0.545615 -0.002874 0.908536
2.851210 1.009278 0.002914 -0.063502 -0.000037 -0.065509 0.000730 -1.050060 -0.010567 1.219190
2.917620 0.975721 0.002876 0.009198 -0.000291 0.129399 0.010186 -1.517000 -0.009099 0.180414
2.985580 1.017893 0.003064 -0.057596 -0.000136 -0.044534 -0.004373 0.873572 0.013344 -1.641060
3.055120 1.010493 0.003163 -0.067386 -0.000265 0.006935 -0.000985 0.211749 0.003360 -0.006582
3.126290 1.006924 0.003176 -0.014448 -0.000284 0.085217 -0.001415 1.153710 0.008870 0.079148
3.199110 1.041474 0.003342 0.011220 0.000049 -0.023250 -0.001464 0.016090 -0.003861 0.448031
3.273620 0.993095 0.003251 0.024422 -0.000086 0.075684 0.002205 0.302297 0.002946 0.000854
3.349880 0.994059 0.003348 0.028805 0.000095 -0.031899 -0.001750 0.103470 0.000281 0.262534
3.427910 0.978717 0.003346 0.046525 0.000162 0.045602 -0.001566 0.360505 0.003541 0.462461
3.507750 1.032730 0.003638 -0.002892 -0.000205 0.056392 0.005584 -0.495542 -0.013918 1.506420
3.589460 1.002679 0.003632 -0.075700 -0.000211 -0.028575 -0.000947 0.065086 -0.002567 0.290029
3.673070 0.993654 0.003670 -0.001701 -0.000143 0.049187 0.002706 -0.081704 -0.007427 1.115180
3.758620 1.005692 0.003772 0.022554 0.000255 -0.065714 -0.000755 -0.458305 -0.007970 0.703815
3.846170 1.000823 0.003931 -0.057913 -0.000189 -0.021810 -0.002793 0.226327 0.002349 -0.002154
3.935760 1.008641 0.003948 0.047146 0.000028 0.086636 0.006623 -0.293039 -0.001473 -0.239806
4.027440 1.003684 0.004057 -0.027565 0.000110 -0.071880 -0.003280 -0.429065 -0.002762 0.043514
4.121250 0.963308 0.003977 0.010820 0.000133 -0.012346 -0.002396 0.218643 0.001225 0.261707
4.217240 0.983459 0.004158 0.018098 -0.000135 0.078761 0.003517 0.302880 -0.000448 0.269268
4.315480 1.009704 0.004313 0.036082 0.000314 -0.033452 0.001403 -0.730647 -0.006983 0.170266
4.416000 1.017122 0.004529 -0.020521 -0.000024 -0.023975 0.002158 -0.589878 -0.012428 0.712949
4.518860 1.001084 0.004573 -0.026140 -0.000096 -0.022845 -0.001206 0.057833 0.004436 -0.501931
4.624120 1.013337 0.004742 -0.027602 -0.000090 -0.016619 0.000207 -0.289076 0.000564 -0.547637
4.731830 0.972968 0.004652 -0.030557 -0.000016 -0.055247 -0.001405 -0.413637 -0.010860 0.893368
4.842040 1.026580 0.005028 -0.024912 -0.000235 0.015280 0.004415 -0.366001 0.002522 -0.866727
